0	2608
0205113	1
0277422	1
0282638	1
0454995054402	1
05687203791469	1
0592383638928	1
07364341085271	1
08905852417303	1
1	591
10	104
100	6
1000	2
10062	1
101	2
1012	1
102	8
10202	1
10229	1
103	3
1030	1
10312	1
104	6
1049	1
105	4
106	5
1067	1
107	3
10748	1
1076	1
108	8
109	5
11	87
110	3
11030	1
11044	1
111	7
1114	1
1115	1
1116	1
112	6
1120	1
1127	1
113	6
1132	1
114	10
1140	1
11458	1
1148	2
115	3
116	5
1168	1
1169	1
117	6
1170	1
1171	1
118	7
119	4
1193	1
11955	1
1196	1
12	79
120	9
121	9
122	7
123	8
1231	1
12377	1
1238	1
124	4
1243	1
125	9
126	9
12626	1
1265	1
127	9
1276	1
128	9
1281	1
1282322	1
1286	2
1287	1
129	7
12981	1
13	70
130	8
1309	1
131	4
132	8
1323	1
1327	2
1329	1
133	4
1330	1
1332	1
1338	2
134	4
135	2
1351	1
136	5
1365	1
137	7
1373	1
1374	1
13792	1
138	10
139	4
1392	1
1394	1
1395	1
1396	2
14	50
140	5
141	6
142	7
143	4
144	6
1442845	1
1449	1
145	4
1453	1
1456	1
14593	1
146	7
1463	1
14640	1
1467	1
1469	1
147	7
1471	1
1474	1
148	4
1481	1
1482	1
1486	1
149	4
1494	1
15	58
150	9
151	5
152	5
15200	1
1528	1
153	6
154	2
1549	1
155	6
1550	1
156	4
157	5
15716	1
1573	1
158	4
159	1
1591	1
16	62
160	8
161	3
16167	1
162	6
1620	1
1625	1
163	5
1635	1
164	6
16466	1
165	4
166	3
1660	1
16605	1
1661	1
16660	1
167	6
168	3
1680	1
1686	1
169	3
1697	1
17	39
170	2
17013	1
1706	1
171	2
1713	1
172	3
1729	1
173	5
1730	1
174	6
1740	2
1743	1
1748	1
175	4
176	3
1766	1
177	7
178	3
179	3
18	46
180	3
181	4
182	1
183	2
184	7
1845	1
185	4
1850	1
186	2
1863	1
1867	1
187	1
1877	1
188	6
189	3
18918918918919	1
1895	1
19	42
190	3
1902	2
1906	1
191	4
192	3
193	3
1932	1
1933	1
194	3
1945	1
195	1
196	2
1961	1
1966	1
197	3
198	3
199	2
1994	1
1995	1
1996	1
1997	1
1998	1
1999	1
2	379
20	40
200	2
2000	1
2001	1
2002	1
2003	1
2004	1
2005	1
2006	1
2007	1
2008	1
2009	1
201	3
2010	1
2011	1
2012	1
2013	1
2014	1
2015	1
2016	1
2017	1
2018	1
202	1
203	4
204	3
2041	1
2042	1
205	3
2053	1
206	1
207	3
2076	1
207751	1
208	4
2083	1
20887245841035	1
209	3
2096	1
21	47
210	5
211	3
212	2
2124	1
2126	1
213	3
214	3
215	2
216	3
217	1
218	2
2187	1
2189	1
219	2
2190	1
22	31
220	4
221	4
222	2
223	2
2235	1
224	2
2247	1
225	2
226	4
227	5
228	4
229	1
23	29
230	4
231	2
2319093	1
232	1
233	3
2332	1
234	4
235	2
236	3
237	5
238	4
2386697	1
239	4
2395	1
2398	1
24	38
240	1
2405	1
241	2
2417	1
242	3
243	4
2436	1
244	3
245	2
2459	1
246	3
2467	1
248	2
249	1
25	32
250	3
2508	1
251	2
252	4
253	2
2530369	1
254	2
255	3
256	3
2568	1
257	5
258	4
2589	1
259	1
26	29
260	5
261	2
